Thu, 27 Nov 14 20:49:49 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:50:09 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:50:09 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:50:09 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:50:29 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:50:29 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:50:29 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:50:49 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:50:49 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:50:49 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:51:09 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:51:09 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:51:09 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:51:29 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:51:29 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
